month,date,stock,status,return,EP_TTM,BP_TTM,SP_TTM,CFP_TTM,EBITDA/EV,ROIC,ROE增长率_同比,EPS增长率_同比,ROA增长率_同比,净利润增长率_同比,营业收入增长率_TTM,基本每股收益,销售毛利率,营业成本比例,(扣非)ROE_TTM,ROA_TTM,经营活动产生的现金流量净额To营业收入,存货周转率,总市值,流通市值,资产负债率,return_1m,wgt_return_6m,turn_3m,std_turn_3m,std_turn_6m,std_3m,std_6m,std_12m,资金流出,20日成交金额移动平均
1,2008/1/31,000875.SZ,1,0.546835509,0.461867144,1.719730874,-0.443340505,0.691944723,0.819840723,-0.504910975,0.930232885,0.911648246,1.056630122,0.755320251,-0.156531878,-0.381740767,-0.557771873,0.557771873,-0.205737065,0.218898528,0.762909773,2.230951873,0.461797613,1.261454022,-2.321652897,-0.479598567,-0.541895789,-0.684999922,-0.548034036,-0.832160469,-0.820347472,-0.922252449,-1.005341437,-0.217040955,0.294253881
1,2008/1/31,000886.SZ,1,-0.181451113,-0.79435837,1.679330713,-1.08740504,-0.189147125,-0.326570787,-1.049184047,1.978758855,1.935631283,-2.130435683,1.931182317,-0.972911049,-0.920173051,0.854269632,-0.854269632,-0.73871756,-0.89937105,1.257796617,-0.926276295,0.274846257,0.775332359,0.398052376,-0.474056797,-0.09128164,-0.364342552,-0.197741979,0.039260473,-1.428131058,-0.299551901,-0.040181706,-0.607612727,-0.123371261
1,2008/1/31,600834.SH,1,-0.039113498,0.550520616,-0.624610166,-0.763619872,-0.23804952,-0.327681855,0.569493201,-0.308707806,-0.26643002,-0.076011762,-0.37092638,-0.287458472,0.06981772,0.159558549,-0.159558549,1.032747899,2.282396207,-0.000376907,-1.184262352,0.442457167,-0.106709829,-2.097711485,-0.732546908,1.070584657,-0.359711309,-0.771413824,0.416736925,-0.678558574,0.553886828,0.494913198,-0.407913308,-0.510542807
1,2008/1/31,000931.SZ,0,-1.036155526,-1.301560198,-1.608835765,-0.798671942,-0.579936478,-1.441103684,-1.093350986,-0.739781839,-0.899788868,-0.282438556,-0.976419487,2.266155597,-1.136524746,-0.094515867,0.094515867,-2.923891011,-1.118858726,-0.593688329,-1.007843779,1.497661611,1.726727371,2.213714396,2.005276898,1.065746753,2.461908209,1.620427203,0.392575578,2.204807816,1.698781357,0.16082101,-1.241653012,2.532202458
1,2008/1/31,002080.SZ,1,-0.761646854,-0.032814259,-0.703310493,-0.625431933,-0.267938244,-0.726385912,-0.152890095,-0.90404714,-0.233916036,-0.4688663,-0.339842906,0.41324575,0.616539245,0.171313354,-0.171313354,0.282872237,0.302381003,-0.165951441,-0.229389929,-0.221583425,-0.300834595,0.026771226,-0.237843572,-0.750381252,-1.187872092,-0.650982404,-1.216970015,-0.595387697,-0.945523197,-1.135123493,-0.994174301,-0.929183353
1,2008/1/31,000939.SZ,1,-0.507722789,2.894343837,-0.090469675,-0.118126712,2.555107447,1.45758072,0.79786817,1.743611206,1.935631283,1.910439808,1.931182317,0.250001942,2.830163063,-0.350079423,0.350079423,0.617315347,0.923721582,2.085728294,-0.013617242,0.264362782,1.02863787,0.701426094,-0.439079749,-0.464844933,-0.726890163,-0.592180059,0.65135268,-0.641939198,-0.378607701,-0.263772966,-0.394347822,0.174172289
1,2008/1/31,600798.SH,1,0.44558639,0.886150402,-0.774891261,-0.800187425,0.797143281,0.001939992,-0.336717797,0.412464047,0.591139421,0.353806736,0.448912778,0.26595655,0.611624923,0.576593123,-0.576593123,0.916498632,0.115221643,1.978534865,2.068453256,1.027101895,0.497874865,1.033023611,1.526772049,0.009549279,-0.17015071,0.142785496,-0.515940227,0.554400948,0.027482077,-0.392064315,1.364910426,0.579303701
1,2008/1/31,000520.SZ,1,0.82552622,0.034625102,-0.444323995,-0.164550048,0.190054263,-0.192197324,-0.454390868,0.966742864,0.711728296,0.496935918,0.564196132,-1.01981822,-0.387169725,-0.524713492,0.524713492,-0.026920768,-0.300548022,0.024333628,2.230951873,0.771179569,1.249303782,1.113862058,-0.930817248,-0.102015247,-0.231741285,-0.477539254,0.465513346,-0.821224438,-0.296398903,0.204742879,-0.080100118,0.705590424
1,2008/1/31,000507.SZ,1,-0.18722865,2.894343837,0.538106999,-1.113342509,1.204684939,-1.023940564,-0.673394921,1.978758855,1.935631283,0.568234133,1.926398497,-2.577030742,1.462042811,-1.577097429,1.577097429,1.694297439,1.236871795,2.31731114,-1.122626382,-0.384172873,0.136282867,0.515161547,-0.360024369,-1.106495295,-1.026130692,-1.04410305,-0.505215968,-1.319191968,-1.558072613,-0.784291002,-0.820776294,-0.756094714
1,2008/1/31,000099.SZ,1,-0.753418334,-0.050100622,0.266250844,-0.927720695,0.250074038,-0.515047073,-0.52151153,-0.289155484,-0.322771325,-0.251395899,-0.424788851,-0.464692538,-0.448570186,0.641502708,-0.641502708,-0.062961281,-0.127433207,1.527603397,-0.860137216,0.171137585,0.10898406,-0.486652181,0.023016687,1.265487023,0.1515678,-0.005748799,0.56305877,-0.005800309,-0.129056778,-0.222441329,1.107162647,0.362984122
1,2008/1/31,600578.SH,1,-0.153701732,0.650293431,-0.40699287,-0.616441835,0.620105917,0.695934457,1.083135976,0.726752029,0.66957039,0.649356118,0.523893038,-0.234224571,0.411030528,0.229420204,-0.229420204,0.910913645,1.651213282,1.022125552,2.230951873,1.237472877,-0.43436931,-1.447939761,-0.792044698,1.116369733,0.118884002,-0.247166075,1.561140189,-0.559281397,0.341735568,0.044453152,0.284085978,-0.441678267
1,2008/1/31,600884.SH,0,-0.553663833,0.106290981,-0.035227678,-0.370111248,0.319934008,-0.351175522,-0.314898367,0.026689382,-0.041199656,0.031529981,-0.155605424,0.059362542,0.055441378,-0.165418486,0.165418486,-0.379678019,-0.178031174,0.290002286,-0.486539769,0.719654968,0.885148803,-0.095129375,0.675671689,-0.508108024,-0.281666753,0.006612006,0.445978311,-0.710823494,-0.223153066,1.577337269,-1.241653012,1.320525291
